date,tweets,likes
2022-11-01,31,0
2022-11-02,26,0
2022-11-03,15,0
2022-11-04,23,0
2022-11-05,39,0
2022-11-06,32,0
2022-11-07,25,0
2022-11-08,16,0
2022-11-09,31,0
2022-11-10,30,0
2022-11-11,39,0
2022-11-12,30,0
2022-11-13,49,0
2022-11-14,36,0
2022-11-15,55,0
2022-11-16,19,0
2022-11-17,29,0
2022-11-18,33,0
2022-11-19,41,0
2022-11-20,28,0
2022-11-21,32,0
2022-11-22,29,0
2022-11-23,84,0
2022-11-24,19,0
2022-11-25,30,0
2022-11-26,31,0
2022-11-27,36,0
2022-11-28,42,0
2022-11-29,20,0
2022-11-30,21,0
2022-12-01,32,0
2022-12-02,47,0
2022-12-03,47,0
2022-12-04,26,0
2022-12-05,7,0
2022-12-06,13,0
2022-12-07,8,0
2022-12-08,56,0
2022-12-09,39,0
2022-12-10,18,0
2022-12-11,36,0
2022-12-12,43,0
2022-12-13,57,0
2022-12-14,26,0
2022-12-15,47,0
2022-12-16,53,0
2022-12-17,54,0
2022-12-18,34,0
2022-12-19,20,0
2022-12-20,62,0
2022-12-21,16,0
2022-12-22,23,0
2022-12-23,36,0
2022-12-24,17,0
2022-12-25,14,0
2022-12-26,22,0
2022-12-27,31,0
2022-12-28,38,0
2022-12-29,9,0
2022-12-30,57,0
2022-12-31,14,0
2023-01-01,21,0
2023-01-02,7,0
2023-01-03,24,0
2023-01-04,4,0
2023-01-05,2,0
2023-01-06,1,0
2023-01-07,26,0
2023-01-08,10,0
2023-01-09,8,0
2023-01-10,1,0
2023-01-11,18,0
2023-01-12,16,0
2023-01-13,22,0
2023-01-14,8,0
2023-01-15,34,0
2023-01-16,27,14
2023-01-17,15,17
2023-01-18,14,24
2023-01-19,31,27
2023-01-20,57,48
2023-01-21,24,38
2023-01-22,17,34
2023-01-23,5,16
2023-01-24,7,18
2023-01-25,34,51
2023-01-26,28,28
2023-01-27,34,34
2023-01-28,33,32
2023-01-29,17,29
2023-01-30,18,24
2023-01-31,39,54
2023-02-01,11,16
2023-02-02,18,37
2023-02-03,15,47
2023-02-04,21,28
2023-02-05,22,30
2023-02-06,46,46
2023-02-07,16,18
2023-02-08,15,28
2023-02-09,17,27
2023-02-10,17,24
2023-02-11,33,50
2023-02-12,35,52
2023-02-13,27,38
2023-02-14,38,45
2023-02-15,25,49
2023-02-16,17,29
2023-02-17,55,60
2023-02-18,24,28
2023-02-19,27,51
2023-02-20,15,34
2023-02-21,32,36
