ID,Timestamp,Central,UTC,Tweet,Replies,Retweets,Likes,Views,Source,Birdwatch,URL
1860420527870910635,1732393793,2024-11-23T14:29:53-0600,Sat 23 Nov 20:29:53 UTC 2024,@AMAZlNGNATURE Beautiful. Reminds me of Elden Ring.,126,54,"1,041","46,861",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860420527870910635
1860420683777380580,1732393830,2024-11-23T14:30:30-0600,Sat 23 Nov 20:30:30 UTC 2024,Cool,"3,226","4,804","53,506","11,524,711",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860420683777380580
1860421957323239724,1732394134,2024-11-23T14:35:34-0600,Sat 23 Nov 20:35:34 UTC 2024,@SeibtNaomi Crazy,82,72,886,"29,676",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860421957323239724
1860422646187409681,1732394298,2024-11-23T14:38:18-0600,Sat 23 Nov 20:38:18 UTC 2024,🤔,"5,983","15,213","80,086","18,438,822",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860422646187409681
1860423579587752386,1732394521,2024-11-23T14:42:01-0600,Sat 23 Nov 20:42:01 UTC 2024,@Rob_2628 Is that all?,67,26,451,"21,643",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860423579587752386
1860424790873371044,1732394809,2024-11-23T14:46:49-0600,Sat 23 Nov 20:46:49 UTC 2024,@DimaZeniuk ❤️,99,39,732,"16,076",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860424790873371044
1860425033450975678,1732394867,2024-11-23T14:47:47-0600,Sat 23 Nov 20:47:47 UTC 2024,@america Those who break the law will be arrested and that includes mayors,"1,070","1,403","9,632","1,123,507",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860425033450975678
1860425240775405973,1732394917,2024-11-23T14:48:37-0600,Sat 23 Nov 20:48:37 UTC 2024,@jasondebolt Exactly,64,33,700,"21,035",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860425240775405973
1860425717969735985,1732395030,2024-11-23T14:50:30-0600,Sat 23 Nov 20:50:30 UTC 2024,@TeslaFanBelgium @jasondebolt Yes,42,27,419,"13,612",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860425717969735985
1860426106014257541,1732395123,2024-11-23T14:52:03-0600,Sat 23 Nov 20:52:03 UTC 2024,🇺🇸🇺🇸 @DOGE,"1,635","3,506","20,400","4,498,398",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860426106014257541
1860426466959257914,1732395209,2024-11-23T14:53:29-0600,Sat 23 Nov 20:53:29 UTC 2024,Many Grok upgrades recently and many more to come,"2,053","1,872","18,235","7,921,475",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860426466959257914
1860426604859543968,1732395242,2024-11-23T14:54:02-0600,Sat 23 Nov 20:54:02 UTC 2024,@SeibtNaomi 🇩🇪,74,116,"1,337","41,234",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860426604859543968
1860427521751228434,1732395460,2024-11-23T14:57:40-0600,Sat 23 Nov 20:57:40 UTC 2024,@DrPatSoonShiong 🇺🇸🇺🇸,31,28,376,"15,865",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860427521751228434
1860427643113419046,1732395489,2024-11-23T14:58:09-0600,Sat 23 Nov 20:58:09 UTC 2024,@ajtourville @Starlink @waddey Cool,58,33,504,"21,390",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860427643113419046
1860428575016419392,1732395712,2024-11-23T15:01:52-0600,Sat 23 Nov 21:01:52 UTC 2024,"Even if we fail at creating a Mars colony that can grow without continuous support from Earth, the absurdly ambitious nature of the goal nonetheless results in the creation of alien-level technology that is crushingly better than competitors who merely aim for Earth orbit.","8,626","9,510","81,287","21,913,194",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860428575016419392
1860428862837989713,1732395780,2024-11-23T15:03:00-0600,Sat 23 Nov 21:03:00 UTC 2024,@anammostarac 😂,48,29,502,"16,289",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860428862837989713
1860428960099615217,1732395803,2024-11-23T15:03:23-0600,Sat 23 Nov 21:03:23 UTC 2024,"Try it, you’ll like it","1,776","1,276","10,733","4,252,600",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860428960099615217
1860429129394315480,1732395844,2024-11-23T15:04:04-0600,Sat 23 Nov 21:04:04 UTC 2024,@BillyM2k Tough call 🤔,242,43,"1,236","45,596",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429129394315480
1860429284445159546,1732395881,2024-11-23T15:04:41-0600,Sat 23 Nov 21:04:41 UTC 2024,@YunTaTsai1 🚀❤️,76,42,637,"21,903",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429284445159546
1860429472886931628,1732395926,2024-11-23T15:05:26-0600,Sat 23 Nov 21:05:26 UTC 2024,https://t.co/Cl4HEwRG8v,"12,645","36,963","366,525","47,707,219",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429472886931628
1860429508752412893,1732395934,2024-11-23T15:05:34-0600,Sat 23 Nov 21:05:34 UTC 2024,RT @YunTaTsai1: There is no sci-fi movie shot as beautiful as hot staging.,0,757,0,43,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429508752412893
1860429743251734999,1732395990,2024-11-23T15:06:30-0600,Sat 23 Nov 21:06:30 UTC 2024,@TheGregYang 🔥,49,32,497,"18,748",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429743251734999
1860429872679604622,1732396021,2024-11-23T15:07:01-0600,Sat 23 Nov 21:07:01 UTC 2024,@TheRabbitHole84 😂🫠,134,70,"1,137","39,981",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860429872679604622
1860430424935121099,1732396153,2024-11-23T15:09:13-0600,Sat 23 Nov 21:09:13 UTC 2024,@america They are illegal,219,209,"2,594","59,904",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860430424935121099
1860430675351851484,1732396212,2024-11-23T15:10:12-0600,Sat 23 Nov 21:10:12 UTC 2024,Insane government spending is driving American into bankruptcy,"4,655","13,994","79,213","20,482,768",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860430675351851484
1860436541266436431,1732397611,2024-11-23T15:33:31-0600,Sat 23 Nov 21:33:31 UTC 2024,This is insane,"4,417","12,741","60,410","12,725,651",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860436541266436431
1860436902219768303,1732397697,2024-11-23T15:34:57-0600,Sat 23 Nov 21:34:57 UTC 2024,@MarioNawfal @jk_rowling 🎯,94,94,"1,370","54,779",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860436902219768303
1860437346216215030,1732397803,2024-11-23T15:36:43-0600,Sat 23 Nov 21:36:43 UTC 2024,RT @joniernst: Met with @realDonaldTrump about his cabinet nominees today! @howardlutnick @elonmusk https://t.co/yR72sRbyyC,0,"2,348",0,16,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437346216215030
1860437472867414032,1732397833,2024-11-23T15:37:13-0600,Sat 23 Nov 21:37:13 UTC 2024,@superfly_mr @joniernst @realDonaldTrump @howardlutnick True,166,30,986,"25,264",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437472867414032
1860437902531981551,1732397935,2024-11-23T15:38:55-0600,Sat 23 Nov 21:38:55 UTC 2024,No-brainer,"1,072","1,741","12,555","9,266,646",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860437902531981551
1860442065819074868,1732398928,2024-11-23T15:55:28-0600,Sat 23 Nov 21:55:28 UTC 2024,@SenJoniErnst @VivekGRamaswamy @DOGE 🇺🇸🇺🇸,55,62,670,"36,119",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860442065819074868
