[22/01/20 09:10:04] @elonmusk - RT by @_Bergelmir_: Cancel Cancel Culture! (Tue 09:35:23) https://twitter.com/elonmusk/status/1262783922708058113
[22/02/05 13:10:04] @elonmusk - RT by @_Bergelmir_:  (Sat 12:19:53) http://twitter.com/elonmusk/status/1490057614436282383
[22/02/06 15:55:03] @elonmusk - RT by @_Bergelmir_: Im pro vaccination, but anti vaccination mandate (Sun 14:24:34) http://twitter.com/elonmusk/status/1490451380364009472
[22/02/14 21:25:12] @elonmusk - RT by @_Bergelmir_: Fear is the mind-killer (Sat 20:33:30) http://twitter.com/elonmusk/status/1239031946962808832
[22/11/01 10:24:06] @elonmusk - RT @SpaceX - Falcon Heavy launches USSF-44 to orbit, and its two side boosters return to Earth – SpaceX's 50th mission of 2022 https://t.co/t0ZXCTGFrM	(Tue 10:22:50) https://www.twitter.com/SpaceX/status/1587484312076779520
[22/11/01 14:15:11] @elonmusk - RT @Stuck4ger - Wow that was amazing, @SpaceX #FalconHeavy https://t.co/Y0ozNxUtun  (Tue 14:12:58) https://www.twitter.com/Stuck4ger/status/1587446533724803072
[22/11/01 19:00:08] @elonmusk - RT @yoyoel - We’re staying vigilant against attempts to manipulate conversations about the 2022 US midterms. Read on for independent analysis of our teams’ work 👇 https://t.co/O2MFNqCTY2  (Tue 18:56:53) https://www.twitter.com/yoyoel/status/1587616703952826368
[22/11/02 23:06:05] @elonmusk - RT @SpaceX - Deployment of Eutelsat HOTBIRD 13G confirmed https://t.co/gq1HiV6HLE  (Wed 23:05:36) https://www.twitter.com/SpaceX/status/1588048181509488640
[22/11/03 00:09:03] @elonmusk - RT @DavidSacks - The entitled elite is not mad that they have to pay $8/month. They’re mad that anyone can pay $8/month.  (Thu 00:08:50) https://www.twitter.com/DavidSacks/status/1588025594897346560
[22/11/04 14:12:05] @elonmusk - RT @SpaceX - Life at Starbase https://t.co/tYfYRLRQjU https://t.co/gmYHM4y3GR  (Fri 14:09:22) https://www.twitter.com/SpaceX/status/1588606403866144768
[22/11/04 19:42:03] @elonmusk - RT @boringcompany - Full-scale Hyperloop Testing has begun https://t.co/cDUD1PEfkD  (Fri 19:40:15) https://www.twitter.com/boringcompany/status/1588685426088628225
[22/11/05 15:18:07] @elonmusk - RT @Tesla - Design & manufacture actuators for our Optimus robot! https://t.co/UVFZAF0Roy  (Sat 15:15:44) https://www.twitter.com/Tesla/status/1589009711407730688
[22/11/07 08:33:03] @elonmusk - RT @Tesla - Meet Megafactory, our new Megapack factory in Lathrop, CA 🔋🔋🔋 https://t.co/aw85eHECXI  (Mon 08:32:25) https://www.twitter.com/Tesla/status/1589655011155673088
[22/11/07 08:33:05] @elonmusk - RT @Tesla - View all destination chargers → https://t.co/lqJMwQTuvH https://t.co/AL9eudo7nH  (Mon 08:32:21) https://www.twitter.com/Tesla/status/1589602301802844161
[22/11/09 10:57:04] @elonmusk - RT @robinw - https://t.co/05QY6u4FSD  (Wed 10:56:24) https://www.twitter.com/robinw/status/1590403084513333249
[22/11/09 11:18:02] @elonmusk - RT @yoyoel - Update on our efforts to combat hateful conduct: We've not only mitigated the recent surge in harmful behavior, but have reduced impressions on this content in Search by ~95% relative to even prior baseline levels. We're continuing our work to make Twitter safer every day. https://t.co/g4X6ue0f8W https://t.co/lK5fMRWCGb	(Wed 11:15:54) https://www.twitter.com/yoyoel/status/1590422124606681088
[22/11/11 10:18:03] @elonmusk - RT @TeslaCharging - In pursuit of our mission, today we are opening up our EV connector design → https://t.co/HTk7Si9XZy https://t.co/vMKts5h4ei  (Fri 10:16:34) https://www.twitter.com/TeslaCharging/status/1591131214328778752
[22/11/11 10:36:05] @elonmusk - RT @SpaceX - Happy Veterans Day to all those who have served! https://t.co/81iK9DBhKj  (Fri 10:34:56) https://www.twitter.com/SpaceX/status/1591127443372670976
[22/11/12 09:42:03] @elonmusk - RT @SpaceX - Deployment of @Intelsat Galaxy 31 confirmed https://t.co/OmnFr0GUdy  (Sat 09:41:04) https://www.twitter.com/SpaceX/status/1591472343892709376
[22/11/12 09:42:05] @elonmusk - RT @SpaceX - Liftoff! https://t.co/u2frCG8Jji  (Sat 09:40:36) https://www.twitter.com/SpaceX/status/1591462499810877442
[22/11/12 09:45:08] @elonmusk - RT @Tesla - Join our growing team installing Solar + Powerwall across the US → https://t.co/BMlhHBbAJn https://t.co/mVupmqcjiK	(Sat 09:44:07) https://www.twitter.com/Tesla/status/1591204080286064641
[22/11/12 09:45:10] @elonmusk - RT @TeslaSolar - Tesla solar and Powerwall can power your home & reduce your dependence on the grid – at the lowest price in the US → https://t.co/aPxn1NjonJ  (Sat 09:44:05) https://www.twitter.com/TeslaSolar/status/1591169137447153664
